Name,Type,System,Planet,Moon,Place
HDMS-Norgaard,Outpost,Stanton,Crusader,Daymar,
HDMS-Oparei,Outpost,Stanton,Crusader,Daymar,
HDMS-Perlman,Outpost,Stanton,Crusader,Daymar,
HDMS-Pinewood,Outpost,Stanton,Crusader,Daymar,
HDMS-Ryder,Outpost,Stanton,,Ita,
HDMS-Stanhope,Outpost,Stanton,Hurston,,
HDMS-Thedus,Outpost,Stanton,Hurston,,
HDMS-Woodruff,Outpost,Stanton,Crusader,Daymar,
HDSF-Adlai,Outpost,Stanton,Hurston,,
HDSF-Barnabas,Outpost,Stanton,Hurston,,
HDSF-Breckinridge,Outpost,Stanton,Hurston,,
HDSF-Colfax,Outpost,Stanton,Crusader,Daymar,
HDSF-Damaris,Outpost,Stanton,Hurston,,
HDSF-Elbridge,Outpost,Stanton,Hurston,,
HDSF-Hendricks,Outpost,Stanton,Hurston,,
HDSF-Hiram,Outpost,Stanton,Crusader,Daymar,
HDSF-Hobart,Outpost,Stanton,Hurston,,
HDSF-Ishmael,Outpost,Stanton,Hurston,,
HDSF-Millerand,Outpost,Stanton,Hurston,,
HDSF-Rufus,Outpost,Stanton,Crusader,Daymar,
HDSF-Sherman,Outpost,Stanton,Hurston,,
HDSF-Tamar,Outpost,Stanton,Hurston,,
HDSF-Tompkins,Outpost,Stanton,Hurston,,
HDSF-Zacharias,Outpost,Stanton,Crusader,Daymar,
Hephaestus,Space station,Helios,Tangaroa,,
Hickes,Outpost,Stanton,,Cellin,
Humboldt Mines,Outpost,Stanton,,Lyria,
HUR-L1 Green Glade Station,Space station,Stanton,,,
HUR-L2 Faithful Dream Station,Space station,Stanton,,,
HUR-L3 Thundering Express Station,Space station,Stanton,,,
HUR-L4 Melodic Fields Station,Space station,Stanton,,,
HUR-L5 High Course Station,Space station,Stanton,,,
HD Showcase,Store,Stanton,Hurston,,Lorville
Hurston Security Station,,Stanton,Crusader,Yela,
IAS Hammett,Space station,Terra,Terra,,
ICC ScanHub,Space station,Stanton,Crusader,,
ICS Evolen,Space station,Terra,Terra,,
IMS Bolliver,Space station,Sol,,Ganymede,
INS Aniene,Space station,,,,
INS Dunleavy,Space station,Sol,,,
INS Flavus,Space station,,,,
INS Hephaestus,Space station,,,,
INS Jericho,Space station,Stanton,,,MIC-L1
INS Malcolm,Space station,,,,
INS Reilly,Space station,Terra,Gen,,
Inspiration Park,,Stanton,Crusader,Yela,
Invictus Base,,,,,
IO-North tower,Office building,Stanton,ArcCorp,,Area18
Jackson's Swap,Outpost,,,,
Julep Ravine,Outpost,Stanton,Crusader,Yela,
Jumptown,Outpost,Stanton,Crusader,Yela,
JusticeStar Satellite,Space station,Kellog,,,
Kedsu Reef,Space station,,,,
Klescher (Aberdeen),Outpost,,,,
Kosso Basin,Outpost,Stanton,,Yela,
Kudre Ore,Outpost,Stanton,microTech,Calliope,
Kudre Ore Mine,Outpost,Stanton,Crusader,Yela,
L19 Residences,Residential,Stanton,Hurston,,Lorville
Lamina OLP,Space station,Stanton,microTech,Calliope,
Lamina PAF-I,Outpost,Stanton,microTech,Calliope,
Lamina PAF-II,Outpost,Stanton,microTech,Calliope,
Lamina PAF-III,Outpost,Stanton,Crusader,Yela,
Levski,City,Nyx,Delamar,,
Lorville,City,Stanton,Hurston,,
Lorville Outskirts,,,,,
Loveridge Mineral Reserve,Outpost,Stanton,,Lyria,
Lyris,Space station,Gliese,Nogo,,
Lyris Flotilla,Space station,,,,
MacIntyre & Victor's Bar,Bar,Stanton,Hurston,,Lorville
Magnus Gateway,Space station,,,,
Maria Pure of Heart,Hospital,Stanton,Crusader,Yela,Lorville
Megumi Refueling,Space station,,,,
Mercy Hospital,,,,,
MIC-L1 Shallow Frontier Station,Space station,Stanton,,,
MIC-L2 Long Forest Station,Space station,Stanton,,,
MIC-L3 Endless Odyssey Station,Space station,Stanton,,,
MIC-L4 Red Crossroads Station,Space station,Stanton,,,
MIC-L5 Modern Icarus Station,Space station,Stanton,,,
MMHC,Club,Stanton,ArcCorp,,Area18
Mogote,Outpost,Stanton,,Cellin,
2UB-RB9-5,Outpost,Stanton,Crusader,Yela,
4HJ-LVE-A,Outpost,Stanton,microTech,,
5WQ-R2V-C,Outpost,Stanton,microTech,,
8FK-Q2X-K,Outpost,Stanton,microTech,,
D79-ECG-R,Outpost,Stanton,Crusader,Yela,
E2Q-NSG-Y,Outpost,Stanton,Crusader,Yela,
QVX-J88-J,Outpost,Stanton,microTech,,
TMG-XEV-2,Outpost,Stanton,microTech,,
TLI-4,,,,,
Nakamura Valley,Outpost,Stanton,Crusader,Yela,
Neutrality,Bar,Pyro,,,Ruin Station
New Austin,City,Terra,Terra,,
New Babbage,City,Stanton,microTech,,
NT-999-XX,Outpost,Stanton,,Yela,
Nuen Waste Management,Outpost,Stanton,microTech,Calliope,
Nuiqsut,Outpost,Stanton,Crusader,Yela,
Nyx Gateway (Pyro),Space station,,,,
OB Heller,Space station,Garron,Garron II,,
OB Kobold,Space station,Osiris,Etos,,
OB Gryphon,Space station,Kallis,,,
OB Pegasus,Space station,Kellog,Xis,,
Old '38,Bar,Stanton,Grim HEX,,
Onyx Facility (ASD),,,,,
OP Demien,Space station,Nexus,Nexus II,,
Operations Depot Lyria,,,,,
Orbital laser platforms,Space station,,,,
Orbituary,Space station,Pyro,Bloom,,
Orison,City,Stanton,Crusader,,
Orison General,Hospital,Stanton,Crusader,Pyro IV,Orison
Outpost 54,Outpost,Stanton,microTech,Pyro IV,
Oza (New Babbage),,,,Pyro IV,
Oza (Orison),,,,Pyro IV,
Paradise Cove,Outpost,Stanton,,Pyro IV,
Patch City,Space station,,,,
PSS Alpha,Space station,,,,
PSS Delta,Space station,,,,
PSS Lambda,Space station,,,,
PSS Theta,Space station,,,,
People's service stations,Space station,,,,
Point Wain,Outpost,Stanton,microTech,Pyro IV,
Port Olisar,Space station,"prev., Stanton","prev., Crusader",,
Port Tressler,Space station,Stanton,microTech,,
Prime,City,Terra,Terra,,
PRIVATE PROPERTY,Outpost,Stanton,,Cellin,
Providence industrial platform,,,,,
PYAM-EXHANG-0-1,Space station,,,,
PYAM-SUPVISR-3-4,Space station,,,,
PYAM-SUPVISR-3-5,Space station,,,,
Pyen'pui.a,Space station,,,,
Pyro Gateway (Nyx),Space station,,,,
Pyro Gateway (Stanton),Space station,,,,
Quasi,City,Terra,Terra,,
QV Breaker stations,,,,,
QV Services Stations,Space station,,,,
R&R CRU-L2,Space station,Stanton,,,
RAB-Alpha,Space station,,,,
Rat's Nest,Space station,,,,
Raven's Roost,Outpost,Stanton,,Calliope,
Rayari Anvik,Outpost,Stanton,,Calliope,
Rayari Cantwell,Outpost,Stanton,,Clio,
Rayari Deltana,Outpost,Stanton,microTech,,
Rayari Kaltag,Outpost,Stanton,,Calliope,
Rayari Livengood,Outpost,,,,
Rayari McGrath,Outpost,Stanton,,Clio,
Reclamation & Disposal,Outpost,,,,
R&D Orinth,Outpost,Stanton,Hurston,,
Rod's Fuel 'N Supplies,Space station,,,,
Ruin,Space station,Pyro,Pyro VI,,
Ruptura OLP,Space station,Stanton,Hurston,Aberdeen,
Ruptura PAF-I,Outpost,,,,
Ruptura PAF-II,Outpost,,,,
Ruptura PAF-III,Outpost,,,,
Samson & Son's Salvage Center,Outpost,Stanton,,Wala,
Scarper's Turn,,,,,
Security Post Kareah,Space station,Stanton,Crusader,Cellin,
Seraphim Station,Space station,Stanton,Crusader,,
Shady Glen Farms,Outpost,Stanton,,Wala,
Sherman,City,Castra,Cascom,,
SAL-2,Outpost,Stanton,ArcCorp,Lyria,
SAL-5,Outpost,Stanton,ArcCorp,Lyria,
SPAL-3,Outpost,Stanton,ArcCorp,Lyria,
SPAL-7,Outpost,Stanton,ArcCorp,Lyria,
SPAL-9,Outpost,Stanton,ArcCorp,Lyria,
SPAL-12,Outpost,Stanton,ArcCorp,Lyria,
SPAL-16,Outpost,Stanton,ArcCorp,Lyria,
SPAL-21,Outpost,Stanton,ArcCorp,Lyria,
SCD-1,Outpost,Stanton,Crusader,Daymar,
SM0-10,Outpost,Stanton,microTech,Calliope,
SM0-13,Outpost,Stanton,microTech,Calliope,
SM0-18,Outpost,Stanton,microTech,Calliope,
SM0-22,Outpost,Stanton,microTech,Calliope,
SMCa-6,Outpost,Stanton,microTech,Calliope,
SMCa-8,Outpost,Stanton,microTech,Calliope,
SPMC-1,Outpost,Stanton,microTech,Calliope,
SPMC-3,Outpost,Stanton,microTech,Calliope,
SPMC-5,Outpost,Stanton,microTech,Calliope,
SPMC-10,Outpost,Stanton,microTech,Calliope,
SPMC-11,Outpost,Stanton,microTech,Calliope,
SPMC-14,Outpost,Stanton,microTech,Calliope,
Space Clinics,,,,,
Spider,Space station,Cathcart,,,
Stanton Gateway (Pyro),Space station,,,,
Starlight Service Station,Space station,,,,
Stratus at Cloudview Center,,,,,
Talarine Divide,Outpost,Stanton,,Yela,
Tamdon Plains,Outpost,,,,
TDD Kesner,Space station,Sol,,,
Technotic,Store,Stanton,,,Grim HEX
Teddy's Playhouse,Outpost,Stanton,,Lyria,
Terra Gateway (Stanton),Space station,,,,
Terra Mills HydroFarm,Outpost,Stanton,Hurston,Arial,
Terraformation platform,Space station,,,,
Test Facility Octagon,,,,,
The Ark,Space station,Tayac,Tayac I,,
The Factory Line,,,,,
The Necropolis,Outpost,Stanton,microTech,,
The Orphanage,Outpost,Stanton,,Lyria,
The Pit,Outpost,Stanton,,Lyria,
Tobin Expo Center,Convention center,Stanton,microTech,,New Babbage
Tram & Myers Mining,Outpost,Stanton,Hurston,Arial,
Trise flotilla,Space station,,,,
Vision Center,,,,,
Vivere OLP,Space station,Stanton,Hurston,Aberdeen,
Vivere PAF-I,Outpost,Stanton,Hurston,Aberdeen,
Vivere PAF-II,Outpost,Stanton,Hurston,Aberdeen,
Vivere PAF-III,Outpost,,,,
Voyager Bar,Bar,Stanton,Crusader,,Orison
Wally's,,,,,
Wheeler's,Outpost,Stanton,,Lyria,
Wikelo Dasi,Space station,,,,
Wikelo Kinga,Space station,,,,
Wikelo Selo,Space station,,,,
Wolf Point,Outpost,Stanton,,Daymar,
Xenia,Space station,,,,
Yogi,Space station,Oso,,,
Yulin Flotilla,Space station,Yulin,,,
August Dunlow Spaceport,Spaceports,Stanton,Crusader,,Orison
New Babbage Spaceport,Spaceports,Stanton,microTech,,New Babbage
Riker Memorial Spaceport,Spaceports,Stanton,ArcCorp,,Area18
Teasa Spaceport,Spaceports,Stanton,Hurston,,Lorville
Area04,Outpost,Stanton,ArcCorp,,
Area06,Outpost,Stanton,ArcCorp,,
Area07,Outpost,Stanton,ArcCorp,,
Area11,Outpost,Stanton,ArcCorp,,
Area17,Outpost,Stanton,ArcCorp,,
Area20,Outpost,Stanton,ArcCorp,,
Area26,Outpost,Stanton,ArcCorp,,
Area39,Outpost,Stanton,ArcCorp,,
Abyss,Planet,,,,
Aero,Planet,,,,
Angeli,Planet,,,,
ArcCorp (planet),Planet,,,,
Aremis,Planet,,,,
Armitage (planet),Planet,,,,
Ashana,Planet,,,,
Asura,Planet,,,,
Bacchus I,Planet,,,,
Bacchus II,Planet,,,,
Bacchus III,Planet,,,,
Baker I,Planet,,,,
Baker II,Planet,,,,
Baker III,Planet,,,,
Baker IV,Planet,,,,
Banshee I,Planet,,,,
Banshee II,Planet,,,,
Banshee IV,Planet,,,,
Bloom,Planet,,,,
Bombora,Planet,,,,
Borea,Planet,,,,
Branaugh I,Planet,,,,
Branaugh II,Planet,,,,
Branaugh III,Planet,,,,
Bremen I,Planet,,,,
Bremen III,Planet,,,,
Bremen IV,Planet,,,,
Bruder,Planet,,,,
Caliban I,Planet,,,,
Caliban III,Planet,,,,
Caliban IV,Planet,,,,
Caliban V,Planet,,,,
Cano I,Planet,,,,
Cano III,Planet,,,,
Carteyna,Planet,,,,
Cascom,Planet,,,,
Cassel,Planet,,,,
Castor,Planet,,,,
Castra I,Planet,,,,
Centauri I,Planet,,,,
Centauri IV,Planet,,,,
Centauri V,Planet,,,,
Cestulus,Planet,,,,
Charon I,Planet,,,,
Charon II,Planet,,,,
Charon III,Planet,,,,
Charon IV,Planet,,,,
Charon V,Planet,,,,
Chuai'chuai,Planet,,,,
Chuaiton,Planet,,,,
Cole,Planet,,,,
Corel I,Planet,,,,
Corel II,Planet,,,,
Corel V,Planet,,,,
Corel VI,Planet,,,,
Corin,Planet,,,,
Crion,Planet,,,,
Croshaw I,Planet,,,,
Croshaw IV,Planet,,,,
Crusader,Planet,,,,
Cyrene,Planet,,,,
Davien I,Planet,,,,
Davien III,Planet,,,,
Davien IV,Planet,,,,
Earth,Planet,,,,
Ellis I,Planet,,,,
Ellis II,Planet,,,,
Ellis VI,Planet,,,,
Ellis VII,Planet,,,,
Ellis VIII,Planet,,,,
Elysium I,Planet,,,,
Elysium II,Planet,,,,
Elysium V,Planet,,,,
Ergo,Planet,,,,
Etos,Planet,,,,
Ferron I,Planet,,,,
Ferron II,Planet,,,,
Ferron IV,Planet,,,,
First Sister,Planet,,,,
Fora I,Planet,,,,
Fora II,Planet,,,,
Fora IV,Planet,,,,
Fora V,Planet,,,,
Garron I,Planet,,,,
Garron II,Planet,,,,
Garron III,Planet,,,,
Garron IV,Planet,,,,
Gen,Planet,,,,
Genesis I,Planet,,,,
Genesis II,Planet,,,,
Genesis III,Planet,,,,
Gliese I,Planet,,,,
Gliese II,Planet,,,,
Gliese III,Planet,,,,
Gliese V,Planet,,,,
Gliese VI,Planet,,,,
Gonn,Planet,,,,
Goss I,Planet,,,,
Goss III,Planet,,,,
Green,Planet,,,,
H.au'u,Planet,,,,
Hades I,Planet,,,,
Hades II,Planet,,,,
Hades III,Planet,,,,
Hades IV,Planet,,,,
Hadrian I,Planet,,,,
Hadrian II,Planet,,,,
Hadrian III,Planet,,,,
Helios I,Planet,,,,
Helios III,Planet,,,,
Helios IV,Planet,,,,
HH130782,Planet,,,,
HL2610,Planet,,,,
Horus II,Planet,,,,
Horus III,Planet,,,,
Hua'nam,Planet,,,,
Hurston,Planet,,,,
Hyperion,Planet,,,,
Idris I,Planet,,,,
Idris II,Planet,,,,
Idris III,Planet,,,,
Idris V,Planet,,,,
Jalan,Planet,,,,
Judecca,Planet,,,,
Jupiter,Planet,,,,
K'ya.k'uing,Planet,,,,
K.yuy'a'than,Planet,,,,
Ka'ua,Planet,,,,
Kabal I,Planet,,,,
Kabal II,Planet,,,,
Kabal III,Planet,,,,
Kai'pua I,Planet,,,,
Kai'pua III,Planet,,,,
Kai'pua IV,Planet,,,,
Kallis I,Planet,,,,
Kallis II,Planet,,,,
Kallis III,Planet,,,,
Kallis IV,Planet,,,,
Kallis IX,Planet,,,,
Kallis V,Planet,,,,
Kallis VI,Planet,,,,
Kallis VII,Planet,,,,
Kallis VIII,Planet,,,,
Kampos,Planet,,,,
Keene,Planet,,,,
Kellog I,Planet,,,,
Kellog III,Planet,,,,
Kellog IV,Planet,,,,
Kellog V,Planet,,,,
Kiel I,Planet,,,,
Kiel II,Planet,,,,
Kiel IV,Planet,,,,
Kiel V,Planet,,,,
Kiel VI,Planet,,,,
Kilian VIII,Planet,,,,
Kilian X,Planet,,,,
Kilian XI,Planet,,,,
Kilian XII,Planet,,,,
Kilian XIII,Planet,,,,
Kilian XIV,Planet,,,,
Kins I,Planet,,,,
Kins II,Planet,,,,
Kins III,Planet,,,,
Kins IV,Planet,,,,
Kins V,Planet,,,,
Ko'li,Planet,,,,
Ku?'li,Planet,,,,
Kyu'nao,Planet,,,,
Kyu'?m,Planet,,,,
Kyuk'ya I,Planet,,,,
Kyuk'ya II,Planet,,,,
Kyupuaang,Planet,,,,
Lago,Planet,,,,
Leir I,Planet,,,,
Leir III,Planet,,,,
Lix?uu,Planet,,,,
Lo,Planet,,,,
Locke,Planet,,,,
Lorona,Planet,,,,
L?ng'xyi,Planet,,,,
M.iiy'ong,Planet,,,,
MacArthur,Planet,,,,
Magma,Planet,,,,
Magnus I,Planet,,,,
Magnus III,Planet,,,,
Mars,Planet,,,,
Mentor,Planet,,,,
Mercury (planet),Planet,,,,
MicroTech (planet),Planet,,,,
Min I,Planet,,,,
Monox,Planet,,,,
Mya,Planet,,,,
Nemo I,Planet,,,,
Nemo II,Planet,,,,
Neptune,Planet,,,,
Nexus I,Planet,,,,
Nexus II,Planet,,,,
Nexus III,Planet,,,,
Noble,Planet,,,,
Nogo,Planet,,,,
Aberdeen,Moon,,,,
Adir,Moon,,,,
Arial,Moon,,,,
Ariel,Moon,,,,
Caliban 2a,Moon,,,,
Caliban 3a,Moon,,,,
Caliban 3b,Moon,,,,
Caliban 4a,Moon,,,,
Caliban 4b,Moon,,,,
Caliban 4c,Moon,,,,
Caliban 4d,Moon,,,,
Caliban 4e,Moon,,,,
Caliban 4f,Moon,,,,
Calliope,Moon,,,,
Callisto,Moon,,,,
Cellin,Moon,,,,
Charon (moon),Moon,,,,
Clio,Moon,,,,
Corsito,Moon,,,,
Daymar,Moon,,,,
Deimos,Moon,,,,
Dione,Moon,,,,
Eda,Moon,,,,
Epheet,Moon,,,,
Erna,Moon,,,,
Europa,Moon,,,,
Euterpe,Moon,,,,
Fairo,Moon,,,,
Fuego,Moon,,,,
Gainey,Moon,,,,
Ganymede,Moon,,,,
HH130782A,Moon,,,,
HL2610A,Moon,,,,
Iapetus,Moon,,,,
Ignis,Moon,,,,
Io,Moon,,,,
Ita,Moon,,,,
Jai,Moon,,,,
Jarl,Moon,,,,
Luna,Moon,,,,
Lyria,Moon,,,,
Magda,Moon,,,,
Miranda,Moon,,,,
Oberon (moon),Moon,,,,
Petram,Moon,,,,
Petrus,Moon,,,,
Phobos,Moon,,,,
Pyro IV,Moon,,,,
Rhea,Moon,,,,
Tethys,Moon,,,,
Titan,Moon,,,,
Titania,Moon,,,,
Toja,Moon,,,,
Umbriel,Moon,,,,
Vatra,Moon,,,,
Vuur,Moon,,,,
Wala,Moon,,,,
Yela,Moon,,,,
Ail'ka Belt Alpha,Asteroid Formation,,,,
Ail'ka Belt Beta,Asteroid Formation,,,,
Bacchus Belt Alpha,Asteroid Formation,,,,
Branaugh Belt Alpha,Asteroid Formation,,,,
Caliban Belt Alpha,Asteroid Formation,,,,
Cathcart Belt Alpha,Asteroid Formation,,,,
Centauri Belt Alpha,Asteroid Formation,,,,
Daedalus Cluster,Asteroid Formation,,,,
Elcibre Belt,Asteroid Formation,,,,
Ellis 11a,Asteroid Formation,,,,
Fora Belt Alpha,Asteroid Formation,,,,
Gliese Belt Alpha,Asteroid Formation,,,,
Gliese Belt Beta,Asteroid Formation,,,,
Gliese Cluster Gamma,Asteroid Formation,,,,
Hades IV Asteroid Cluster,Asteroid Formation,,,,
Hades IV split,Asteroid Formation,,,,
Henge Cluster,Asteroid Formation,,,,
Icarus Cluster,Asteroid Formation,,,,
Jovian Rings,Asteroid Formation,,,,
Kabal Cluster Alpha,Asteroid Formation,,,,
Kuiper Belt,Asteroid Formation,,,,
Marisol Belt,Asteroid Formation,,,,
Oretani Belt Alpha,Asteroid Formation,,,,
Orion Belt Alpha,Asteroid Formation,,,,
Rings of Aremis,Asteroid Formation,,,,
Rings of Branaugh II,Asteroid Formation,,,,
Rings of Ellis VII,Asteroid Formation,,,,
Rings of Kiel V,Asteroid Formation,,,,
Rings of Kyuk'ya I,Asteroid Formation,,,,
Rings of Neptune,Asteroid Formation,,,,
Rings of Saturn,Asteroid Formation,,,,
Rings of Tayac II,Asteroid Formation,,,,
Rings of Uranus,Asteroid Formation,,,,
Yulin Cluster Alpha,Asteroid Formation,,,,
Echo Eleven,Space station,,,,
Daymar Rally,,,,,
Adira Falls Apartments,Residential,Stanton,ArcCorp,,Area18
Afterlife,Outpost,Stanton,,Yela,
Aparelli,Store,Stanton,microTech,,New Babbage
Area18 Hospital,Hospital,Stanton,ArcCorp,,Area18
Armor store (ARC-L1 Wide Forest Station),Store,Stanton,,,ARC-L1 Wide Forest Station
Astro Armada,Store,Stanton,ArcCorp,,Area18
Aydo,City,Ellis,Green,,
Boro,City,Caliban,Crion,,
Brentworth Care Center,Hospital,Stanton,microTech,,New Babbage
Buckets,Outpost,Stanton,,Lyria,
Candalor,City,Rhetor,Reisse,,
Cargo deck store (Baijini Point),Store,Stanton,,,Baijini Point
Cargo deck store (Everus Harbor),Store,Stanton,,,Everus Harbor
Cargo deck store (Port Tressler),Store,Stanton,,,Port Tressler
Casaba Outlet (Area18),Store,Stanton,ArcCorp,,
CenterMass (Area18),Store,Stanton,ArcCorp,,Area18
CenterMass (New Babbage),Store,Stanton,microTech,,New Babbage
Char,City,Nul,Cole,,
Comm Array 042,Communication satellite,Stanton,Crusader,,
Comm Array 126,Communication satellite,Stanton,Crusader,,
Comm Array 275,Communication satellite,Stanton,Crusader,,
Comm Array 306,Communication satellite,Stanton,Crusader,,
Comm Array 472,Communication satellite,Stanton,Crusader,,
Comm Array 556,Communication satellite,Stanton,Crusader,,
Comm Array 625,Communication satellite,Stanton,Crusader,,
Comm Array 730,Communication satellite,Stanton,Crusader,,
Comm Array 849,Communication satellite,Stanton,Crusader,,
Commarray SCC,Communication satellite,Stanton,Crusader,,
Connor's,Outpost,Stanton,,Yela,
Conscientious Objects,Store,Nyx,Delamar,,Levski
Cordry's,Store,Nyx,Delamar,,Levski
Corilla,City,Rihlah,Xi,,
Covalex Shipping (Orison),Store,Stanton,Crusader,,Orison
Criska,Outpost,Stanton,,Cellin,
Crusader Showroom,Store,Stanton,Crusader,,Orison
Cubby Blast,Store,Stanton,ArcCorp,,
Dark Sun,Bar,Nul,Ashana,,Olympus
DDV-6,Outpost,Stanton,microTech,,
Dell,Town,Orion,Armitage,,
Dipur,Outpost,Stanton,,Cellin,
Dumper's Depot (Area18),Store,Stanton,ArcCorp,,Area18
Dumper's Depot (Grim HEX),Store,Stanton,,,Grim HEX
Dumper's Depot (Levski),Store,Nyx,Delamar,,Levski
Dumper's Depot (Port Olisar),Store,Stanton,,,Port Olisar
Edge of Oblivion,Bar,Castra,Cascom,,Sherman
Eri City,City,Kiel,Severus,,
Factory Line,Store,Stanton,microTech,,New Babbage
Fujin City,City,Centauri,Saisei,,
Garrity Defense,Store,Stanton,Crusader,,Port Olisar
Gemma,City,Elysium,Jalan,,
Green Circle Habitation,Residential,Stanton,Crusader,,Orison
Greycat Stanton IV,,,,,
