Name,SCU,MaxSize,Grid32,Grid24,Grid16,Grid8,Grid4,Grid2,Grid1,Owned
Origin 315p,12,,,,,,,,,No
Origin 325a,4,,,,,,,,,No
Origin 350r,0,,,,,,,,,No
Origin M50,0,,,,,,,,,No
Orion,384,,,,,,,,,No
P-72 Archimedes,0,,,,,,,,,No
Perseus,0,,,,,,,,,No
Pioneer,600,,,,,,,,,No
Pitbull,0,,,,,,,,,No
Polaris,216,,,,,,,,,No
Prospector,32,,,,,,,,,No
Prowler,0,,,,,,,,,No
Ranger CV,0,,,,,,,,,No
Ranger RC,0,,,,,,,,,No
Ranger TR,0,,,,,,,,,No
Razor,0,,,,,,,,,No
Razor EX,0,,,,,,,,,No
Razor LX,0,,,,,,,,,No
Reclaimer,180,,,,,,,,,No
Redeemer,0,,,,,,,,,No
Reliant Kore,6,,,,,,,,,No
Reliant Mako,0,,,,,,,,,No
Reliant Sen,2,,,,,,,,,No
Reliant Tana,0,,,,,,,,,No
Retaliator,0,,,,,,,,,No
Retaliator Bomber,0,,,,,,,,,No
Sabre,0,,,,,,,,,No
Sabre Comet,0,,,,,,,,,No
Sabre Raven,0,,,,,,,,,No
San'tok.yai,0,,,,,,,,,No
Scorpius,0,,,,,,,,,No
Starfarer,295,,,,,,,,,No
Starfarer Gemini,295,,,,,,,,,No
Starlancer Max,224,,,,,,,,,No
Talon,0,,,,,,,,,No
Talon Shrike,0,,,,,,,,,No
Terrapin,0,,,,,,,,,No
Tumbril - Nova Tank,0,,,,,,,,,No
Ursa Rover,4,,,,,,,,,No
Ursa Rover Fortuna,0,,,,,,,,,No
Valkyrie,30,,,,,,,,,No
Valkyrie Liberator Edition,30,,,,,,,,,No
Vanduul Scythe,0,,,,,,,,,No
Vanguard Harbinger,0,,,,,,,,,No
Vanguard Hoplite,0,,,,,,,,,No
Vanguard Sentinel,0,,,,,,,,,No
Vanguard Warden,0,,,,,,,,,No
Vulcan,12,,,,,,,,,No
Vulture,12,,,,,,,,,No
X1 Base,0,,,,,,,,,No
X1 Force,0,,,,,,,,,No
X1 Velocity,0,,,,,,,,,No
