Name,Type,System,Planet,Moon,Place
Bevic Convention Center,Convention center,Stanton,ArcCorp,,Area18
Boro,City,Caliban,Crion,,
Bountiful Harvest Hydroponics,Outpost,Stanton,,Daymar,
Brentworth Care Center,Hospital,Stanton,microTech,,New Babbage
Brio's Breaker Yard,Scrapyard,Stanton,,Daymar,
Buckets,Outpost,Stanton,,Lyria,
Bud's Growery,Outpost,Stanton,,Euterpe,
Buloi Sataball Arena,Space station,Yulin,Yulin II,,
Cafe Musain,Bar,Nyx,Delamar,,Levski
Calhoun Pass Emergency Shelter,Public shelter,Stanton,microTech,,
Candalor,City,Rhetor,Reisse,,
Cargo deck store (Baijini Point),Store,Stanton,,,Baijini Point
Cargo deck store (Everus Harbor),Store,Stanton,,,Everus Harbor
Cargo deck store (Port Tressler),Store,Stanton,,,Port Tressler
Casaba Outlet (Area18),Store,Stanton,ArcCorp,,
CenterMass (Area18),Store,Stanton,ArcCorp,,Area18
CenterMass (New Babbage),Store,Stanton,microTech,,New Babbage
Chairman's Club Lounge (Lorville),Lounge,Stanton,Hurston,,Lorville
Chairman's Club Lounge (Orison),Lounge,Stanton,Crusader,,Orison
Char,City,Nul,Cole,,
Clear View Emergency Shelter,Public shelter,Stanton,microTech,,
Comm Array 042,Communication satellite,Stanton,Crusader,,
Comm Array 126,Communication satellite,Stanton,Crusader,,
Comm Array 275,Communication satellite,Stanton,Crusader,,
Comm Array 306,Communication satellite,Stanton,Crusader,,
Comm Array 472,Communication satellite,Stanton,Crusader,,
Comm Array 556,Communication satellite,Stanton,Crusader,,
Comm Array 625,Communication satellite,Stanton,Crusader,,
Comm Array 730,Communication satellite,Stanton,Crusader,,
Comm Array 849,Communication satellite,Stanton,Crusader,,
Comm Array ST1-02,Communication satellite,Stanton,Hurston,Ita,
Comm Array ST1-13,Communication satellite,Stanton,Hurston,Arial,
Comm Array ST1-48,Communication satellite,Stanton,Hurston,Magda,
Comm Array ST1-61,Communication satellite,Stanton,Hurston,,
Comm Array ST1-92,Communication satellite,Stanton,Hurston,Aberdeen,
Comm Array ST2-28,Communication satellite,Stanton,Crusader,Cellin,
Comm Array ST2-47,Communication satellite,Stanton,Crusader,Daymar,
Comm Array ST2-55,Communication satellite,Stanton,Crusader,,
Comm Array ST2-76,Communication satellite,Stanton,Crusader,Yela,
Comm Array ST3-18,Communication satellite,Stanton,ArcCorp,Lyria,
Comm Array ST3-35,Communication satellite,Stanton,ArcCorp,Wala,
Comm Array ST3-90,Communication satellite,Stanton,ArcCorp,,
Comm Array ST4-22,Communication satellite,Stanton,microTech,,
Comm Array ST4-31,Communication satellite,Stanton,microTech,Calliope,
Comm Array ST4-59,Communication satellite,Stanton,microTech,Clio,
Comm Array ST4-64,Communication satellite,Stanton,microTech,Euterpe,
Commarray SCC,Communication satellite,Stanton,Crusader,,
Connor's,Outpost,Stanton,,Yela,
Conscientious Objects,Store,Nyx,Delamar,,Levski
Cordry's,Store,Nyx,Delamar,,Levski
Corilla,City,Rihlah,Xi,,
Covalex Shipping (Orison),Store,Stanton,Crusader,,Orison
Covalex Shipping Hub Gundo,Space station,Stanton,,Daymar,
Covalex Shipping Hub Xenia,Space station,Baker,,,
Criska,Outpost,Stanton,,Cellin,
CRU-L1 Ambitious Dream Station,Space station,Stanton,,,
CRU-L4 Shallow Fields Station,Space station,Stanton,,,
CRU-L5 Beautiful Glen Station,Space station,Stanton,,,
Crusader Showroom,Store,Stanton,Crusader,,Orison
Cry-Astro Service 042,Space station,Stanton,Crusader,,
Cry-Astro Service 151,Space station,Stanton,Crusader,,
Cry-Astro Service 262,Space station,Stanton,Crusader,,
Cubby Blast,Store,Stanton,ArcCorp,,
D79-ECG-R,Outpost,Stanton,microTech,,
Dark Sun,Bar,Nul,Ashana,,Olympus
DDV-6,Outpost,Stanton,microTech,,
Deakins Research Outpost,Outpost,Stanton,,Yela,
Dell,Town,Orion,Armitage,,
Desmond Memorial Convention Center,Convention center,Stanton,Hurston,,Lorville
Devlin Scrap & Salvage,Scrapyard,Stanton,,Euterpe,
Dipur,Outpost,Stanton,,Cellin,
Dumper's Depot (Area18),Store,Stanton,ArcCorp,,Area18
Dumper's Depot (Grim HEX),Store,Stanton,,,Grim HEX
Dumper's Depot (Levski),Store,Nyx,Delamar,,Levski
Dumper's Depot (Port Olisar),Store,Stanton,,,Port Olisar
Dunlow Ridge Aid Shelter,Public shelter,Stanton,,Daymar,
E2Q-NSG-Y,Outpost,Stanton,microTech,,
Eager Flats Aid Shelter,Public shelter,Stanton,,Daymar,
Edge of Oblivion,Bar,Castra,Cascom,,Sherman
Elsewhere,Outpost,Stanton,,Lyria,
Encole Station,Space station,Ellis,Ellis VI,,
Eri City,City,Kiel,Severus,,
Everus Harbor,Space station,Stanton,Hurston,,
Factory Line,Store,Stanton,microTech,,New Babbage
Flanagan's Ravine Aid Shelter,Public shelter,Stanton,,Cellin,
Fujin City,City,Centauri,Saisei,,
G-Loc Bar,Bar,Stanton,ArcCorp,,Area18
Gallete Family Farm,Outpost,Stanton,,Cellin,
Garrity Defense,Store,Stanton,Crusader,,Port Olisar
Gemma,City,Elysium,Jalan,,
Green Circle Habitation,Residential,Stanton,Crusader,,Orison
Greycat Stanton IV,,,,,
Grim HEX,Space station,Stanton,,Yela,
Grim Hex Clinic,Hospital,Stanton,,,Grim HEX
Hadrian Flotilla,Space station,Hadrian,,,
Haven,City,Tyrol,Tyrol V,,
HDMO-Calthrope (NA),Cave,Stanton,Hurston,,
HDMO-Dobbs (NA),Cave,Stanton,,Aberdeen,
HDMS-Anderson,Outpost,Stanton,,Aberdeen,
HDMS-Bezdek,Outpost,Stanton,,Arial,
HDMS-Edmond,Outpost,Stanton,Hurston,,
HDMS-Hadley,Outpost,Stanton,Hurston,,
HDMS-Hahn,Outpost,Stanton,,Magda,
HDMS-Lathan,Outpost,Stanton,,Arial,
HDMS-Norgaard,Outpost,Stanton,,Aberdeen,
HDMS-Oparei,Outpost,Stanton,Hurston,,
HDMS-Perlman,Outpost,Stanton,Magda,,
HDMS-Pinewood,Outpost,Stanton,Hurston,,
HDMS-Ryder,Outpost,Stanton,,Ita,
HDMS-Stanhope,Outpost,Stanton,Hurston,,
HDMS-Thedus,Outpost,Stanton,Hurston,,
HDMS-Woodruff,Outpost,Stanton,,Ita,
HDSF-Adlai,Outpost,Stanton,Hurston,,
HDSF-Barnabas,Outpost,Stanton,Hurston,,
HDSF-Breckinridge,Outpost,Stanton,Hurston,,
HDSF-Colfax,Outpost,Stanton,Hurston,,
HDSF-Damaris,Outpost,Stanton,Hurston,,
HDSF-Elbridge,Outpost,Stanton,Hurston,,
HDSF-Hendricks,Outpost,Stanton,Hurston,,
HDSF-Hiram,Outpost,Stanton,Hurston,,
HDSF-Hobart,Outpost,Stanton,Hurston,,
HDSF-Ishmael,Outpost,Stanton,Hurston,,
HDSF-Millerand,Outpost,Stanton,Hurston,,
HDSF-Rufus,Outpost,Stanton,Hurston,,
HDSF-Sherman,Outpost,Stanton,Hurston,,
HDSF-Tamar,Outpost,Stanton,Hurston,,
HDSF-Tompkins,Outpost,Stanton,Hurston,,
HDSF-Zacharias,Outpost,Stanton,Hurston,,
Hephaestus Station,Space station,Helios,Tangaroa,,
Hickes Research Outpost,Outpost,Stanton,,Cellin,
Humboldt Mines,Outpost,Stanton,,Lyria,
HUR-L1 Green Glade Station,Space station,Stanton,,,
HUR-L2 Faithful Dream Station,Space station,Stanton,,,
HUR-L3 Thundering Express Station,Space station,Stanton,,,
HUR-L4 Melodic Fields Station,Space station,Stanton,,,
HUR-L5 High Course Station,Space station,Stanton,,,
Hurston Dynamics Showcase,Store,Stanton,Hurston,,Lorville
IAS Hammett,Space station,Terra,Terra,,
ICC ScanHub Stanton,Space station,Stanton,Crusader,,
ICS Evolen,Space station,Terra,Terra,,
IMS Bolliver,Space station,Sol,,Ganymede,
INS Dunleavy,Space station,Sol,,,
INS Reilly,Space station,Terra,Gen,,
INS-Jericho,Space station,Stanton,,,MIC-L1
IO-North Tower,Office building,Stanton,ArcCorp,,Area18
Jata,City,Davien,Cestulus,,
Julep Ravine Aid Shelter,Public shelter,Stanton,,Cellin,
Jumptown,Outpost,Stanton,,Yela,
JusticeStar Satellite,Space station,Kellog,,,
Kareah,Space station,Stanton,,Cellin,
KC Trending,Store,Stanton,,,Grim HEX
Kesseli,City,Banshee,Lorona,,
KH3-AAE-L,Outpost,Stanton,microTech,,
Klescher Rehabilitation Facility,Correctional facility,Stanton,,Aberdeen,
Kosso Basin Aid Shelter,Public shelter,Stanton,,Yela,
Kudre Ore,Outpost,Stanton,,Daymar,
Kudre Ore Mine (Closed),Outpost,Stanton,,Daymar,
L19 Residences,Residential,Stanton,Hurston,,Lorville
L8P-JUC-8 (Offline),Outpost,Stanton,microTech,,
Launch Pad,Outpost,Stanton,,Lyria,
Lespin,Outpost,Stanton,,Cellin,
Levski,City,Nyx,Delamar,,
Levski clothing store,Store,Nyx,Delamar,,Levski
Levski general merchandise store,Store,Nyx,Delamar,,Levski
Levski Hospital,Hospital,Nyx,Delamar,,Levski
Live Fire Weapons (ARC-L1 Wide Forest Station),Store,Stanton,,,ARC-L1 Wide Forest Station
Live Fire Weapons (CRU-L1 Ambitious Dream Station),Store,Stanton,,,CRU-L1 Ambitious Dream Station
Live Fire Weapons (HUR-L1 Green Glade Station),Store,Stanton,,,HUR-L1 Green Glade Station
Live Fire Weapons (HUR-L2 Faithful Dream Station),Store,Stanton,,,HUR-L2 Faithful Dream Station
Live Fire Weapons (HUR-L4 Melodic Fields Station),Store,Stanton,,,HUR-L4 Melodic Fields Station
Live Fire Weapons (HUR-L5 High Course Station),Store,Stanton,,,HUR-L5 High Course Station
Live Fire Weapons (MIC-L1 Shallow Frontier Station),Store,Stanton,,,MIC-L1 Shallow Frontier Station
Live Fire Weapons (Port Olisar),Store,Stanton,,,Port Olisar
Lorville,City,Stanton,Hurston,,
Loveridge Mineral Reserve,Outpost,Stanton,,Lyria,
Lyris,Space station,Gliese,Nogo,,
MacIntyre & Victor's Bar,Bar,Stanton,Hurston,,Lorville
Magellan’s,Bar,Sol,Earth,,New York
Maria Pure of Heart,Hospital,Stanton,Hurston,,Lorville
Mariana,City,Helios,Tangaroa,,
MIC-L1 Shallow Frontier Station,Space station,Stanton,,,
Million Mile High Club,Club,Stanton,ArcCorp,,Area18
Mogote Aid Shelter,Public shelter,Stanton,,Cellin,
Moluto,Outpost,Stanton,,Daymar,
Moscow,City,Sol,Earth,,
Nakamura Valley Aid Shelter,Public shelter,Stanton,,Yela,
Neso Triangle,,,,,
Nest Apartments,Residential,Stanton,microTech,,New Babbage
Neutrality,Bar,Pyro,,,Ruin Station
New Arden,City,Davien,Cestulus,,
New Austin,City,Terra,Terra,,
New Babbage,City,Stanton,microTech,,
New Babbage Interstellar Spaceport,Spaceport,Stanton,microTech,,New Babbage
New Corvo,City,Vega,Aremis,,
New Deal,Store,Stanton,Hurston,,Lorville
New Junction,City,Corel,Lo,,
New York,City,Sol,Earth,,
Newcastle,City,Magnus,Borea,,
NT-999-XVI,Outpost,Stanton,,Daymar,
NT-999-XX,Outpost,Stanton,,Yela,
NT-999-XXII,Outpost,Stanton,,Yela,
Nuen Waste Management,Outpost,Stanton,,Daymar,
Nuiqsut Emergency Shelter,Public shelter,Stanton,microTech,,
O'Halloran's,Bar,Sol,Earth,,New York
OB Heller,Space station,Garron,Garron II,,
OB Kobold,Space station,Osiris,Etos,,
OB Station Gryphon,Space station,Kallis,,,
OB Station Pegasus,Space station,Kellog,Xis,,
Odyssa,City,Magnus,Borea,,
Old '38,Bar,Stanton,Grim HEX,,
Olympus,Town,Nul,Ashana,,
Omega Pro,Store,Stanton,microTech,,New Babbage
OP Station Demien,Space station,Nexus,Nexus II,,
Opal,Outpost,Stanton,,Yela,
Orison,City,Stanton,Crusader,,
Orison General,Hospital,Stanton,Crusader,,Orison
Outpost 54,Outpost,Stanton,microTech,,
Paradise Cove,Outpost,Stanton,,Lyria,
Platinum Bay (ARC-L1 Wide Forest Station),Store,Stanton,,,ARC-L1 Wide Forest Station
Platinum Bay (Baijini Point),Store,Stanton,,,Baijini Point
Platinum Bay (CRU-L1 Ambitious Dream Station),Store,Stanton,,,CRU-L1 Ambitious Dream Station
Platinum Bay (CRU-L4 Shallow Fields Station),Store,Stanton,,,CRU-L4 Shallow Fields Station
Platinum Bay (CRU-L5 Beautiful Glen Station),Store,Stanton,,,CRU-L5 Beautiful Glen Station
Platinum Bay (Everus Harbor),Store,Stanton,,,Everus Harbor
Platinum Bay (HUR-L2 Faithful Dream Station),Store,Stanton,,,HUR-L2 Faithful Dream Station
Platinum Bay (HUR-L3 Thundering Express Station),Store,Stanton,,,HUR-L3 Thundering Express Station
Platinum Bay (HUR-L5 High Course Station),Store,Stanton,,,HUR-L5 High Course Station
Platinum Bay (Port Tressler),Store,Stanton,,,Port Tressler
Point Wain Emergency Shelter,Public shelter,Stanton,microTech,,
Port Olisar,Space station,"prev., Stanton","prev., Crusader",,
Port Renatus,City,Sol,Mars,,
Port Tressler,Space station,Stanton,microTech,,
Prashad,Outpost,Stanton,,Daymar,
Prime,City,Terra,Terra,,
PRIVATE PROPERTY,Outpost,Stanton,,Cellin,
Providence Surplus,Store,Stanton,Crusader,,Orison
Quasi,City,Terra,Terra,,
Quinton,City,Croshaw,Angeli,,
QVX-J88-J,Outpost,Stanton,microTech,,
R&R CRU-L2,Space station,Stanton,,,
Radegast,Bar,Sol,Mars,,Port Renatus
Raleigh Station,Settlement,Odin,Vili,,
Raven's Roost,Outpost,Stanton,,Calliope,
Rayari Anvik Research Outpost,Outpost,Stanton,,Calliope,
Rayari Cantwell Research Outpost,Outpost,Stanton,,Clio,
Rayari Deltana Research Outpost,Outpost,Stanton,microTech,,
Rayari Kaltag Research Outpost,Outpost,Stanton,,Calliope,
Rayari McGrath Research Outpost,Outpost,Stanton,,Clio,
Reclamation & Disposal Orinth,Scrapyard,Stanton,Hurston,,
Refinery deck store (ARC-L1 Wide Forest Station),Store,Stanton,,,ARC-L1 Wide Forest Station
Refinery deck store (CRU-L1 Ambitious Dream Station),Store,Stanton,,,CRU-L1 Ambitious Dream Station
Refinery deck store (HUR-L1 Green Glade Station),Store,Stanton,,,HUR-L1 Green Glade Station
Refinery deck store (HUR-L2 Faithful Dream Station),Store,Stanton,,,HUR-L2 Faithful Dream Station
Refinery deck store (MIC-L1 Shallow Frontier Station),Store,Stanton,,,MIC-L1 Shallow Frontier Station
Regal Luxury Rentals,Rental,Stanton,microTech,,New Babbage
Riker Memorial Spaceport,Spaceport,Stanton,ArcCorp,,Area18
Ruin Station,Space station,Pyro,Pyro VI,,
S4DC05,,,,,
S4LD01,,,,,
S4LD13,,,,,
Sakura Sun Goldenrod Workcenter,,,,,
SAL-2,Outpost,Stanton,,Lyria,
SAL-5,Outpost,Stanton,,Lyria,
Samson & Son's Salvage Center,Scrapyard,Stanton,,Wala,
SCD-1,Outpost,Stanton,,Daymar,
Security Depot Hurston-1,Outpost,Stanton,Hurston,,
Security Depot Lyria-1,Outpost,Stanton,,Lyria,
Shady Glen Farms,Outpost,Stanton,,Wala,
Shanghai,City,Sol,Earth,,
Sherman,City,Castra,Cascom,,
Ship gun shop (Baijini Point),Store,Stanton,,,Baijini Point
Ship gun shop (CRU-L5 Beautiful Glen Station),Store,Stanton,,,CRU-L5 Beautiful Glen Station
Ship gun shop (HUR-L2 Faithful Dream Station),Store,Stanton,,,HUR-L2 Faithful Dream Station
Ship gun shop (HUR-L3 Thundering Express Station),Store,Stanton,,,HUR-L3 Thundering Express Station
Ship gun shop (HUR-L4 Melodic Fields Station),Store,Stanton,,,HUR-L4 Melodic Fields Station
Ship gun shop (HUR-L5 High Course Station),Store,Stanton,,,HUR-L5 High Course Station
Shoel,City,Fora,Hyperion (planet),,
Shubin Interstellar (New Babbage),Store,Stanton,microTech,,New Babbage
Skutters,Store,Stanton,,,Grim HEX
SM0-10,Outpost,Stanton,microTech,,
SM0-13,Outpost,Stanton,microTech,,
SM0-18,Outpost,Stanton,microTech,,
SM0-22,Outpost,Stanton,microTech,,
SMCa-6,Outpost,Stanton,,Calliope,
SMCa-8,Outpost,Stanton,,Calliope,
SPAL-12,Outpost,Stanton,,Lyria,
SPAL-16,Outpost,Stanton,,Lyria,
SPAL-21,Outpost,Stanton,,Lyria,
SPAL-3,Outpost,Stanton,,Lyria,
SPAL-7,Outpost,Stanton,,Lyria,
SPAL-9,Outpost,Stanton,,Lyria,
Spider,Space station,Cathcart,,,
SPMC-1,Outpost,Stanton,,Calliope,
SPMC-10,Outpost,Stanton,,Calliope,
SPMC-11,Outpost,Stanton,,Calliope,
SPMC-14,Outpost,Stanton,,Calliope,
SPMC-3,Outpost,Stanton,,Calliope,
SPMC-5,Outpost,Stanton,,Calliope,
Stalford,City,Bremen,Rytif,,
Su'Shora,City,Kai'pua,Rai.p'uāng,,
Talarine Divide Aid Shelter,Public shelter,Stanton,,Yela,
Tamdom Plains Aid Shelter,Public shelter,Stanton,,Daymar,
Tammany and Sons,Store,Stanton,Hurston,,Lorville
Tanys,City,Idris,Locke,,
TDD Kesner,Space station,Sol,,,
Teach's Ship Shop,Store,Nyx,Delamar,,Levski
Teasa Spaceport,Spaceport,Stanton,Hurston,,Lorville
Technotic,Store,Stanton,,,Grim HEX
Teddy's Playhouse,Outpost,Stanton,,Lyria,
Terra Mills HydroFarm,Outpost,Stanton,,Cellin,
Thaquray,Outpost,Stanton,,Daymar,
The ARK,Space station,Tayac,Tayac I,,
The Garden,Outpost,Stanton,,Daymar,
The Necropolis,Outpost,Stanton,microTech,,
The Orphanage,Outpost,Stanton,,Lyria,
The Pit,Outpost,Stanton,,Lyria,
Titus,City,Vega,Selene,,
TMG-XEV-2,Outpost,Stanton,microTech,,
Tobin Expo Center,Convention center,Stanton,microTech,,New Babbage
Torchlight Express,Bar,Baker,,,Covalex Shipping Hub Xenia
TPF,Outpost,Stanton,,Daymar,
Trade and Development Division (Area18),Administration,Stanton,ArcCorp,,Area18
Trade and Development Division (New Babbage),Administration,Stanton,microTech,,New Babbage
Tram,City,Ferron,Asura,,
Tram & Myers Mining,Outpost,Stanton,,Cellin,
Traveler Rentals,Rental,Stanton,ArcCorp,,Area18
Utopia,Outpost,Stanton,,Yela,
Vantage Rentals,Rental,Stanton,Hurston,,Lorville
Viola's,Bar,Stanton,Hurston,,Lorville
Voyager Bar,Bar,Stanton,Crusader,,Orison
Wally's Bar,Bar,Stanton,microTech,,New Babbage
Wan,Outpost,Stanton,,Yela,
Wheeler's,Outpost,Stanton,,Lyria,
Wolf Point Aid Shelter,Public shelter,Stanton,,Daymar,
Wreck of the UEES Flyssa,Ship wreck,Stanton,,Daymar,
Yogi Station,Space station,Oso,,,
Yulin Flotilla,Space station,Yulin,,,
